Date,Location,Distance,Measurement,Moisture,Strength,Latitude,Longitude,Altitude,Slope
29-Jul,1,0,1,2.108,6.936892,40.05702687,-75.21908943,45.9756279,19
29-Jul,1,0,2,2.09,4.492059,40.05702687,-75.21908943,45.9756279,18
29-Jul,1,0,3,2,3.58417,40.05702687,-75.21908943,45.9756279,17
29-Jul,1,0,4,1.99,2.459508,40.05702687,-75.21908943,45.9756279,20
29-Jul,2,25,1,1.99,3.82909,40.05691992,-75.21928992,52.42618942,23
29-Jul,2,25,2,2.03,5.050977,40.05691992,-75.21928992,52.42618942,21
29-Jul,2,25,3,1.99,4.439848,40.05691992,-75.21928992,52.42618942,21
29-Jul,2,25,4,2.02,5.155309,40.05691992,-75.21928992,52.42618942,22.5
29-Jul,3,50,1,1.93,4.97761,40.05691761,-75.21958429,56.31705856,20
29-Jul,3,50,2,1.68,5.464786,40.05691761,-75.21958429,56.31705856,14.5
29-Jul,3,50,3,1.82,3.832796,40.05691761,-75.21958429,56.31705856,19.5
29-Jul,3,50,4,1.88,5.84288,40.05691761,-75.21958429,56.31705856,15
29-Jul,4,75,1,1.47,4.880632,40.05684909,-75.21988026,63.82578659,18
29-Jul,4,75,2,1.49,5.320487,40.05684909,-75.21988026,63.82578659,14.5
29-Jul,4,75,3,1.69,3.703319,40.05684909,-75.21988026,63.82578659,15.5
29-Jul,4,75,4,1.62,4.421166,40.05684909,-75.21988026,63.82578659,21
29-Jul,5,100,1,1.52,5.07551,40.05669625,-75.22009115,69.63547897,13
29-Jul,5,100,2,1.42,5.702147,40.05669625,-75.22009115,69.63547897,8.5
29-Jul,5,100,3,1.28,5.791581,40.05669625,-75.22009115,69.63547897,17
29-Jul,5,100,4,1.42,4.268211,40.05669625,-75.22009115,69.63547897,15.5
29-Jul,6,125,1,1.35,6.139391,40.05658477,-75.22031469,74.8417778,16
29-Jul,6,125,2,1.48,6.977125,40.05658477,-75.22031469,74.8417778,10
29-Jul,6,125,3,1.72,6.649591,40.05658477,-75.22031469,74.8417778,10
29-Jul,6,125,4,1.29,5.657757,40.05658477,-75.22031469,74.8417778,15
29-Jul,7,150,1,1.48,7.069723,40.05640313,-75.22050035,80.19981003,14
29-Jul,7,150,2,1.68,7.462545,40.05640313,-75.22050035,80.19981003,14
29-Jul,7,150,3,1.42,5.950077,40.05640313,-75.22050035,80.19981003,7
29-Jul,7,150,4,1.87,6.351812,40.05640313,-75.22050035,80.19981003,11
29-Jul,8,175,1,1.49,5.128783,40.05628662,-75.22073261,81.76713181,13.5
29-Jul,8,175,2,1.4,6.257236,40.05628662,-75.22073261,81.76713181,9.5
29-Jul,8,175,3,1.66,6.318876,40.05628662,-75.22073261,81.76713181,12
29-Jul,8,175,4,1.46,5.933925,40.05628662,-75.22073261,81.76713181,12
29-Jul,9,200,1,1.44,8.164204,40.05612686,-75.22099304,83.61783981,9.5
29-Jul,9,200,2,1.43,6.684849,40.05612686,-75.22099304,83.61783981,8
29-Jul,9,200,3,1.36,6.105106,40.05612686,-75.22099304,83.61783981,12.5
29-Jul,9,200,4,1.38,7.179313,40.05612686,-75.22099304,83.61783981,9.5
30-Jul,1,0,1,1.934,5.124,40.05702687,-75.21908943,45.9756279,19
30-Jul,1,0,2,2.073,5.388,40.05702687,-75.21908943,45.9756279,18
30-Jul,1,0,3,2.016,4.42,40.05702687,-75.21908943,45.9756279,17
30-Jul,1,0,4,2.102,3.913,40.05702687,-75.21908943,45.9756279,20
30-Jul,1,0,5,2.035,4.53,40.05702687,-75.21908943,45.9756279,19
30-Jul,1,0,6,2.083,4.65,40.05702687,-75.21908943,45.9756279,22
30-Jul,1,0,7,2.018,5.25,40.05702687,-75.21908943,45.9756279,18.5
30-Jul,2,25,1,1.787,5.552,40.05691992,-75.21928992,52.42618942,23
30-Jul,2,25,2,1.975,4.203,40.05691992,-75.21928992,52.42618942,21
30-Jul,2,25,3,1.86,3.84,40.05691992,-75.21928992,52.42618942,21
30-Jul,2,25,4,2.025,4.312,40.05691992,-75.21928992,52.42618942,22.5
